,artist_id,genre
110,7lffJlv0nRl0sIsHDmo0SB,southern soul
111,7unQbCJn1z8DeI4FgzoulA,children's folk
112,7unQbCJn1z8DeI4FgzoulA,kindie rock
113,4EVnnrJWKQSdt4uI4Sytjz,american contemporary classical
114,3RQI3hr5BUJmd5q8PgWYF7,classical mezzo-soprano
115,708pmTl2zRKC87egxplOGc,classic girl group
116,708pmTl2zRKC87egxplOGc,rock steady
117,5L56gAwU2WofuHHOpLC0BU,deep techno
118,5L56gAwU2WofuHHOpLC0BU,swedish electronic
119,5L56gAwU2WofuHHOpLC0BU,swedish techno
120,5L56gAwU2WofuHHOpLC0BU,tech house
121,5vuIOnOp6NI06rjLgTpYiY,indie singer-songwriter
122,5vuIOnOp6NI06rjLgTpYiY,swedish synthpop
123,3bXhZFreBJF4QDUUiMmtZW,modern ska punk
124,3bXhZFreBJF4QDUUiMmtZW,pop punk
125,3bXhZFreBJF4QDUUiMmtZW,punk
126,3bXhZFreBJF4QDUUiMmtZW,ska
127,3bXhZFreBJF4QDUUiMmtZW,ska punk
128,3bXhZFreBJF4QDUUiMmtZW,skate punk
129,3bXhZFreBJF4QDUUiMmtZW,socal pop punk
130,548YUkLaLzti0BLqaWpn1W,bass house
131,548YUkLaLzti0BLqaWpn1W,brostep
132,548YUkLaLzti0BLqaWpn1W,electro house
133,548YUkLaLzti0BLqaWpn1W,electronic trap
134,3NWaix6Tlb7dFlJybjAO7Z,gymcore
135,3NWaix6Tlb7dFlJybjAO7Z,heavy alternative
136,3NWaix6Tlb7dFlJybjAO7Z,post-screamo
137,0fW8GvidjXGHw0xy7xXTJJ,classical cello
138,3aBkeBhwadnWMWoVJ2CxJC,acoustic pop
139,3aBkeBhwadnWMWoVJ2CxJC,neo mellow
140,3aBkeBhwadnWMWoVJ2CxJC,pop rock
141,6avGAzQTmqu8mfSmZrN7gT,classic soul
142,6avGAzQTmqu8mfSmZrN7gT,funk
143,6avGAzQTmqu8mfSmZrN7gT,motown
144,6avGAzQTmqu8mfSmZrN7gT,quiet storm
145,6avGAzQTmqu8mfSmZrN7gT,soul
146,6avGAzQTmqu8mfSmZrN7gT,southern soul
147,2IxCWJvrrUqIvt5HjwBTka,world chill
148,2buJppisWV2GWWBWgkK074,melancholia
149,7kZTWx6cRLc0TSRPq1XBMP,anime rock
150,7kZTWx6cRLc0TSRPq1XBMP,j-pixie
151,7kZTWx6cRLc0TSRPq1XBMP,otacore
152,7kZTWx6cRLc0TSRPq1XBMP,vocaloid
153,0Um9Obps5KGnNcqAHfXdBv,red dirt
154,0Um9Obps5KGnNcqAHfXdBv,roots americana
155,0Um9Obps5KGnNcqAHfXdBv,texas country
156,1mXAhKnZEdF6rotyyd4GBi,funk carioca
157,1mXAhKnZEdF6rotyyd4GBi,funk ostentacao
158,00eP8FH26F18U2C8B3Q6Kd,italian baritone
159,1cSpfa4Un4NCOzeOKgGtG9,christian punk
